t,x,y,yaw,wz,cmd_w,phase
10.983333333000001,33.99967956542969,40.79998016357422,-0.0002465928759587777,1.4017349712958094e-05,0.0,idle
11.0,33.99967956542969,40.79997634887695,-0.00025116504572639367,6.042381210136227e-05,0.0,idle
11.016666666,33.99967575073242,40.799991607666016,-0.0002334438068861949,-6.923606179043418e-06,0.0,idle
11.033333333,33.99968338012695,40.79998779296875,-0.00024226110471980736,6.851628768345108e-06,0.0,idle
11.05,33.99967956542969,40.799983978271484,-0.0002415910472051163,9.989871614379808e-05,0.0,idle
11.066666666,33.99967575073242,40.799991607666016,-0.00023764019869741782,-1.3890804439142812e-05,0.0,idle
11.083333333,33.99967575073242,40.799983978271484,-0.000251713494536337,1.3377048162510619e-05,0.0,idle
11.1,33.99967575073242,40.79997634887695,-0.00026557292397567044,2.6208708732156083e-06,0.0,idle
11.116666666,33.99967956542969,40.79998779296875,-0.00024789838884972356,-8.522880307282321e-06,0.0,idle
11.133333333,33.99967575073242,40.79997253417969,-0.00026355052724394006,-3.859331627609208e-06,0.0,idle
11.15,33.99967956542969,40.79998779296875,-0.0002512007284158886,1.2278458598302677e-05,0.0,idle
11.166666666,33.99967956542969,40.79998016357422,-0.0002515824243608095,-5.10477502757567e-06,0.0,idle
11.183333333,33.99967575073242,40.79998016357422,-0.00025054601423391774,3.022797500307206e-05,0.0,idle
11.2,33.99968338012695,40.79998016357422,-0.0002479328058546039,1.4644268958363682e-05,0.0,idle
11.216666666,33.99967956542969,40.79998016357422,-0.0002524811856348352,-1.7776721506379545e-05,0.0,idle
11.233333333,33.99967956542969,40.79998016357422,-0.0002512213843402701,5.742202847613953e-05,0.0,idle
11.25,33.99967575073242,40.79998016357422,-0.0002500883862587575,3.8488975405925885e-05,0.0,idle
11.266666666,33.99968338012695,40.79998016357422,-0.00024746716617897143,1.604062163096387e-05,0.0,idle
11.283333333,33.99967956542969,40.79997634887695,-0.00025768001829641813,-2.2155287297209725e-05,0.0,idle
11.3,33.99967956542969,40.799991607666016,-0.00024147861410605387,3.1130255138123175e-06,0.0,idle
11.316666666,33.99967956542969,40.799983978271484,-0.00025560020650132844,3.0437922760029323e-06,0.0,idle
11.333333333,33.99967575073242,40.79997634887695,-0.0002694501829382653,1.0855922027985798e-07,0.0,idle
11.35,33.99967575073242,40.79998779296875,-0.0002515512529686978,5.190248430153588e-06,0.0,idle
11.366666666,33.99967956542969,40.799983978271484,-0.0002516921865992192,1.579289346409496e-05,0.0,idle
11.383333333,33.99967575073242,40.79998016357422,-0.0002603746239588837,-4.416408501128899e-06,0.0,idle
11.4,33.99967956542969,40.79997634887695,-0.0002594585444827475,2.832030759236659e-06,0.0,idle
11.416666666,33.99968338012695,40.799991607666016,-0.00024535206704573854,5.886573489988223e-05,0.0,idle
11.433333333,33.99968338012695,40.799983978271484,-0.0002547828207001791,-3.5280741030874196e-06,0.0,idle
11.45,33.99968338012695,40.79998016357422,-0.00026348889074086186,-1.061154944181908e-05,0.0,idle
11.466666666,33.99968338012695,40.79997634887695,-0.0002670170223881121,1.9975645045633428e-05,0.0,idle
11.483333333000001,33.99968338012695,40.79998779296875,-0.0002494766210208091,3.5778880373982247e-06,0.0,idle
11.5,33.99967956542969,40.799983978271484,-0.00024876497570459894,-1.0699217455112375e-05,0.0,idle
11.516666666,33.99967956542969,40.79998016357422,-0.0002582097066340158,0.00020494175259955227,0.0,idle
11.533333333,33.99967956542969,40.79998016357422,-0.0002568338347088468,4.484050805331208e-05,0.0,idle
11.55,33.99967956542969,40.79998016357422,-0.0002559974448421926,5.059044269728474e-05,0.0,idle
11.566666666,33.99967575073242,40.79997634887695,-0.00025912037727450477,-1.2581627743202262e-05,0.0,idle
11.583333333,33.99967956542969,40.799991607666016,-0.00024145011254878948,8.990261449071113e-06,0.0,idle
11.6,33.99967956542969,40.799983978271484,-0.0002509621422378193,0.0002016762300627306,0.0,idle
11.616666666,33.99967575073242,40.79998016357422,-0.0002589889824319112,-4.2148503780481406e-06,0.0,idle
11.633333333,33.99967575073242,40.79997634887695,-0.0002626229531248852,-7.856029924369068e-07,0.0,idle
11.65,33.99967956542969,40.799991607666016,-0.000244862675966128,-3.1560610125325184e-08,0.0,idle
11.666666666,33.99967575073242,40.79998016357422,-0.0002604978159512595,-4.0316271565643547e-07,0.0,idle
11.683333333,33.99967956542969,40.79998016357422,-0.00025997003580192376,-5.713281552743865e-06,0.0,idle
11.7,33.99967956542969,40.79998016357422,-0.0002588464973293527,3.986321098636836e-05,0.0,idle
11.716666666,33.99967956542969,40.79997634887695,-0.0002622214698539782,1.830811015679501e-05,0.0,idle
11.733333333000001,33.99968338012695,40.799991607666016,-0.00024555752126444955,1.930728103616275e-06,0.3,step_0.3
11.75,33.99968338012695,40.799983978271484,-0.0002550162253028616,-5.57642852072604e-06,0.3,step_0.3
11.766666666,33.99968338012695,40.79998016357422,-0.0002636945623919007,-1.002234512270661e-05,0.3,step_0.3
11.783333333,33.99967956542969,40.800010681152344,0.0010007107117239865,0.10318803042173386,0.3,step_0.3
11.8,33.99967575073242,40.80000305175781,0.0036964511516323706,0.17964428663253784,0.3,step_0.3
11.816666666,33.999515533447266,40.79998016357422,0.007081968356317874,0.21885937452316284,0.3,step_0.3
11.833333333,33.9994010925293,40.79999923706055,0.011037984827875972,0.254335880279541,0.3,step_0.3
11.85,33.99931335449219,40.800045013427734,0.015347581674344492,0.2744729220867157,0.3,step_0.3
11.866666666,33.99925994873047,40.800025939941406,0.01987837279870017,0.28313419222831726,0.3,step_0.3
11.883333333,33.999271392822266,40.80004119873047,0.024510274673883895,0.2870519459247589,0.3,step_0.3
11.9,33.999305725097656,40.80002212524414,0.029176300216161223,0.2886430323123932,0.3,step_0.3
11.916666666,33.9993782043457,40.800018310546875,0.033875694166957765,0.289579302072525,0.3,step_0.3
11.933333333,33.99937438964844,40.8000602722168,0.03862836032313122,0.2889191210269928,0.3,step_0.3
11.95,33.999385833740234,40.80006408691406,0.043307288986644016,0.2879650294780731,0.3,step_0.3
11.966666666,33.99935531616211,40.800113677978516,0.048001417840415894,0.29073265194892883,0.3,step_0.3
11.983333333000001,33.99933624267578,40.80009841918945,0.052702309462798635,0.29021942615509033,0.3,step_0.3
12.0,33.99932098388672,40.800086975097656,0.057421075651646426,0.2900056540966034,0.3,step_0.3
12.016666666,33.99929428100586,40.80009841918945,0.06213530404623496,0.2908961772918701,0.3,step_0.3
12.033333333,33.99928283691406,40.80010986328125,0.06684204568664372,0.29048821330070496,0.3,step_0.3
12.05,33.999298095703125,40.800086975097656,0.07156733521947646,0.2921258211135864,0.3,step_0.3
12.066666666,33.999324798583984,40.80010986328125,0.07629814773187159,0.2927325963973999,0.3,step_0.3
12.083333333,33.99932861328125,40.80012130737305,0.08101492071398758,0.29092350602149963,0.3,step_0.3
12.1,33.99930191040039,40.80013656616211,0.0857231438940476,0.2882082164287567,0.3,step_0.3
12.116666666,33.99930953979492,40.800140380859375,0.0904326229998241,0.29119670391082764,0.3,step_0.3
12.133333333,33.99935531616211,40.800113677978516,0.0951477579676505,0.2913365960121155,0.3,step_0.3
12.15,33.9993896484375,40.80018615722656,0.09984924234186275,0.28834447264671326,0.3,step_0.3
12.166666666,33.99940490722656,40.80018997192383,0.10453032231839607,0.289066344499588,0.3,step_0.3
12.183333333,33.999420166015625,40.80021286010742,0.10921625331351743,0.2898029685020447,0.3,step_0.3
12.2,33.99940872192383,40.80027770996094,0.11391622947460187,0.28909409046173096,0.3,step_0.3
12.216666666,33.999393463134766,40.800262451171875,0.11860508640618375,0.2909708321094513,0.3,step_0.3
12.233333333,33.9993896484375,40.80025863647461,0.12330710801570467,0.29036396741867065,0.3,step_0.3
